subject,condition,cycle,RBLA_deg,PBLV_degs,MC_rpm,MCP_wkg,PCP_wkg,PVCF_bw,MVHF_bw,RVCOMD_m,PPCOMP_wkg,PNCOMP_wkg,NHPC_perc,NKPC_perc,NAPC_perc,NLBPC_perc,NUBPC_perc,PMP_wkg,HEMA_rat,KEMA_rat,AEMA_rat,MGM_perc,MRF_perc,MBF_perc,MVL_perc,MMG_perc,MSO_perc,MTA_perc
1,1,5,3.99308108790691,14.6020421776766,71.2267895833499,5.26855133205914,13.4777560629593,1.67212640433135,0.560875714806855,0.0676225998652313,6.48894618171182,-5.1551518321368,93.3967430157878,-30.9192263172093,17.829912319659,80.3074290182375,-79.3074290182375,10.5266365631417,0.231101950635605,0.325644516165402,0.299876806615281,29.7882964643504,20.6443528260108,28.9561353421325,26.7131459867832,23.6578173090181,18.163181632119,31.15560268008
1,1,7,4.33253213382143,23.8058082026296,71.2371321298996,5.11192440261882,12.5774595740051,1.44703818101625,0.402242907534132,0.0671443520894917,6.23900479556535,-5.13951631171724,67.5544915335773,-2.59906135535356,22.2911523641365,87.2465825423603,-86.2465825423603,9.58914755900506,0.243684715384612,0.361762775235568,0.302433140065887,32.0348719316179,16.1734548115509,23.079168236557,27.4088619607917,26.2924362810377,19.8837436808961,32.0093798204758
1,1,9,4.69194021452912,16.4902450210817,70.9936000493722,5.41986855316521,10.7700445676656,1.59865930139795,0.192852610083112,0.07051266962025,6.68394331369171,-5.24236886196454,53.9754499969328,10.4413324395233,22.9803604473206,87.3971428837766,-86.3971428837766,7.62527190796957,0.271518403750808,0.388880545545772,0.297711218669555,30.3137946678054,16.419243347207,25.3012773614437,27.9051068426409,23.6081135777794,18.2150058453155,30.581255934843
1,1,10,4.11476037450481,17.01078566002,69.3758722980141,5.21388120750108,9.75664185711924,1.56551441064146,0.18990785999719,0.0650377643285203,6.39787921724989,-4.59112756578608,53.7477153991682,9.9922163750325,24.9165164069954,88.6564481811961,-87.6564481811961,7.30408104065877,0.276271555734883,0.434372337292648,0.311613827841268,29.8539496743793,16.5414060378514,23.0457091078051,29.3028817631806,24.126869641492,21.4850592924503,31.539070908917
1,2,1,3.14473470699727,23.6544071926693,69.1531260452308,5.36445634632797,9.4747366128176,1.45136871206601,0.175701628122404,0.0547022400747221,5.14382442865394,-3.989555252519,52.757285078971,13.5699820632191,25.591440190182,91.9187073323721,-90.9187073323721,6.47612420379064,0.209368323569712,0.408689220810628,0.309782523655727,25.466932808421,19.0114244708285,26.049632767544,35.6586833480836,30.9525353334141,19.6915680483184,40.9779182287321
1,2,4,1.7898702442533,12.0495445568002,70.6739250954722,5.4191711080281,10.2026404498925,1.40022664729819,0.214772892105781,0.0528271366702513,4.63590241463394,-3.88615382830964,58.6015624223992,12.7485453270711,24.0070231618813,95.3571309113516,-94.3571309113516,7.0178273095302,0.238179618992735,0.459814143062186,0.3134429446367,29.3788728024238,20.1752900044508,29.4815681772796,38.0555411863511,32.9274941274893,19.7606469428199,43.7997221757811
1,2,5,2.94811508357554,11.0409777661312,68.8905110725893,5.22352733697573,8.96187702620872,1.45839827873596,0.130228656094849,0.0523038526068045,4.72183010944113,-3.60502264027952,47.950905263158,18.3464407011786,29.488934329773,95.7862802941096,-94.7862802941096,6.48554467243839,0.223718269126671,0.423246093855203,0.316415884207456,28.0542241053457,20.6244973072572,28.1273972732783,35.2337082148622,26.8260808675946,20.0529483320616,38.050999940799
1,2,8,3.15890577801888,26.5686740713444,71.625000449689,5.12166369657015,10.1462133436366,1.48439058337276,0.283917384579311,0.0562476501207922,5.10156311749812,-4.3580420878679,73.1786284699496,-3.77478428351013,23.0120237279191,92.4158679143586,-91.4158679143586,7.91613184478187,0.201674355647911,0.340118374697084,0.300016270836654,25.2874820080588,16.8211906143129,20.3648752427564,33.6976980150173,27.6148179732809,19.4286242957366,36.2416795594855
1,2,11,2.24308910990936,16.5678095440196,67.1067922304126,4.69029229227356,14.7799902611157,1.2272837207424,0.577988149536716,0.0591160799999999,5.31925988790981,-4.16466854913072,-18.9208926622856,82.2891961845278,18.9348682966184,82.3031718188606,-81.3031718188606,14.8917106401185,0.272893660167579,0.486827342798796,0.31609604486085,21.6014223228747,14.7909559801523,23.9660896491358,33.210864149807,29.5040852460797,16.4571674284897,35.1913822484881
1,3,1,1.73595079723373,9.59547559790834,70.6756627624297,5.01192151389403,11.1244008772156,1.62334737267331,0.265569905567141,0.0671076490972438,7.25704529581111,-5.91669273189705,65.8489652960517,6.0849887521525,33.6608746870533,105.594828735257,-104.594828735257,11.5642514444217,0.30399081889609,0.723382191068743,0.301921738784473,39.3712894654956,17.2070473639535,21.8224871994894,29.9730346904037,30.0210836351292,16.4298308075892,36.0469418712139
1,3,2,1.65024769327212,10.4639431529981,70.3095545617201,5.15956265962434,10.9850751410201,1.54777370122456,0.234639887443548,0.0667219694687406,6.72255798232447,-5.25858886823532,61.0886641211587,11.7032928452666,31.1993113330914,103.991268299517,-102.991268299517,10.8865463090218,0.291921615765286,0.742509326538256,0.30056527763704,39.4967365101738,15.705625292789,21.7439820256687,30.2200151500173,30.0295979484296,13.264665974456,35.9065615876238
1,3,7,1.50647341493172,10.799215533247,69.5176950359792,5.25580144058965,10.124186289775,1.54744557338408,0.203248105059767,0.0625787637365518,6.48104148542693,-4.73973620942456,57.877694238933,8.62323309340888,32.9465081495398,99.4474354818817,-98.4474354818817,10.2760694211533,0.296311928863333,0.663169603179712,0.29929998942618,34.3374942800616,16.7061652992558,24.2686712710705,36.0072220459583,31.2097490990447,12.7253647493851,41.3783863675153
